col_1,col_2,col_3
a,1,0.958
aah,3,0.926
Aaron,5,1.000
aback,5,0.963
abacus,6,0.615
abandon,7,1.000
abandoned,9,1.000
abandoning,10,0.920
abandonment,11,0.958
abase,5,0.852
abasement,9,0.964
abash,5,0.966
abate,5,1.000
abated,6,0.962
abbess,6,0.560
abbey,5,0.920
abbot,5,0.821
abbreviate,10,0.964
abbreviated,11,1.000
abbreviation,12,1.000
abbreviations,13,1.000
abdicate,8,0.846
abdomen,7,0.964
abdominal,9,0.875
abduct,6,1.000
abduction,9,0.929
Abe,3,1.000
abed,4,0.929
Abel,4,0.962
Abel's,6,0.926
aberrant,8,0.750
aberration,10,1.000
aberrations,11,0.889
abet,4,0.815
abetted,7,0.857
abeyance,8,0.600
abhor,5,0.815
abhorred,8,0.654
abhorrent,9,0.704
abide,5,1.000
abides,6,1.000
abiding,7,0.962
Abigail,7,1.000
abilities,9,0.964
ability,7,1.000
abject,6,0.929
ablaze,6,0.926
able,4,1.000
ably,4,0.857
abnormal,8,1.000
abnormalities,13,1.000
abnormality,11,0.926
abnormally,10,0.962
aboard,6,0.885
abode,5,0.889
abolish,7,1.000
abolished,9,1.000
abolition,9,0.875
abolitionist,12,0.857
abolitionists,13,0.889
abominable,10,0.760
abominate,9,0.875
aboriginal,10,0.957
aborigine,9,0.682
aborigines,10,0.810
abort,5,1.000
abortion,8,1.000
abortionist,11,1.000
abortions,9,0.964
abortive,8,0.964
abound,6,1.000
abounded,8,0.923
abounding,9,0.964
abounds,7,0.964
about,5,0.966
above,5,1.000
aboveground,11,1.000
abracadabra,11,0.917
Abraham,7,0.963
abrasion,8,0.962
abrasive,8,0.963
abreast,7,0.923
abridged,8,1.000
abridgment,10,0.958
abroad,6,1.000
abrogate,8,0.778
abrogated,9,0.739
abrupt,6,1.000
abruptly,8,1.000
abruptness,10,1.000
abscess,7,0.833
abscesses,9,0.720
abscissa,8,0.304
abscond,7,0.714
absence,7,1.000
absences,8,0.964
absent,6,1.000
absented,8,0.857
absentee,8,0.852
absenteeism,11,0.913
absently,8,0.929
absentmindedly,14,0.720
absinth,7,0.435
absolute,8,1.000
absolutely,10,1.000
absoluteness,12,1.000
absolutes,9,1.000
absolution,10,1.000
absolutism,10,0.793
absolve,7,1.000
absorb,6,0.926
absorbed,8,1.000
absorbency,10,0.960
absorbent,9,1.000
absorber,8,0.926
absorbing,9,1.000
absorbs,7,0.929
absorption,10,1.000
absorptions,11,0.960
absorptive,10,0.741
abstain,7,0.963
abstaining,10,0.962
abstention,10,0.556
abstinence,10,0.962
abstinent,9,0.920
abstract,8,1.000
abstracted,10,0.966
abstractedness,14,0.885
abstracting,11,1.000
abstraction,11,1.000
abstractionism,14,0.857
abstractionists,15,0.815
abstractions,12,0.962
abstractive,11,0.963
abstractly,10,1.000
abstractors,11,1.000
abstracts,9,1.000
abstruse,8,0.750
absurd,6,0.963
absurdities,11,0.875
absurdity,9,0.897
absurdly,8,1.000
abundance,9,1.000
abundant,8,0.964
abuse,5,1.000
abused,6,1.000
abuses,6,1.000
abusive,7,1.000
abut,4,0.679
abutment,8,0.524
abutments,9,0.522
abysmal,7,0.923
abyss,5,1.000
acacia,6,0.333
academic,8,1.000
academically,12,1.000
academicianship,15,0.105
academics,9,1.000
academies,9,0.520
academy,7,0.889
Acadia,6,0.846
Acapulco,8,0.885
accede,6,0.462
acceded,7,0.800
accelerando,11,0.478
accelerate,10,0.964
accelerated,11,0.964
accelerating,12,0.962
acceleration,12,1.000
accelerations,13,0.923
accelerator,11,1.000
accelerators,12,1.000
accelerometer,13,0.357
accelerometers,14,0.533
accent,6,1.000
accented,8,0.792
accenting,9,0.792
accents,7,1.000
accentual,9,0.909
accentuate,10,0.926
accentuated,11,0.926
accentuates,11,0.923
accept,6,1.000
acceptable,10,1.000
acceptance,10,1.000
accepted,8,1.000
accepting,9,0.964
accepts,7,1.000
access,6,1.000
